team1_avg_goals,team2_avg_goals,team1_win_rate,team2_win_rate,head_to_head_team1_wins,head_to_head_team2_wins,home_wins,away_wins,home_losses,away_losses,home_matches,away_matches,home_advantage,away_advantage,home_draws,away_draws,home_goals_conceded,away_goals_conceded,home_goals_scored,away_goals_scored,home_goal_diff,away_goal_diff,stage_importance,venue_advantage,outcome
2.0,0.2,0.6,0.0,0,0,3,0,2,4,5,5,0.19999999999999996,-0.8,0,1,7,7,10,1,3,-6,0.5,1.0,0
1.6,2.4,0.6,0.6,1,0,3,3,1,1,5,5,0.39999999999999997,0.39999999999999997,1,1,2,7,8,12,6,5,0.5,1.0,1
1.4,2.6,0.4,0.4,1,0,2,2,1,1,5,5,0.2,0.2,2,2,5,7,7,13,2,6,0.5,1.0,1
2.0,1.0,0.4,0.2,1,0,2,1,2,3,5,5,0.0,-0.39999999999999997,1,1,13,14,10,5,-3,-9,0.5,1.0,1
2.0,1.2,0.4,0.6,1,0,2,3,2,1,5,5,0.0,0.39999999999999997,1,1,9,3,10,6,1,3,0.5,1.0,1
2.6,0.6,0.6,0.2,1,0,3,1,1,4,5,5,0.39999999999999997,-0.6000000000000001,1,0,4,7,13,3,9,-4,0.5,1.0,1
0.2,3.0,0.0,0.6,1,0,0,3,4,2,5,5,-0.8,0.19999999999999996,1,0,7,9,1,15,-6,6,0.5,1.0,1
0.8,1.6,0.0,0.4,0,1,0,2,5,2,5,5,-1.0,0.0,0,1,16,9,4,8,-12,-1,0.5,1.0,2
2.0,2.0,1.0,0.8,1,0,5,4,0,0,5,5,1.0,0.8,0,1,0,5,10,10,10,5,0.5,1.0,1
2.4,1.6,0.6,0.6,1,0,3,3,2,1,5,5,0.19999999999999996,0.39999999999999997,0,1,9,5,12,8,3,3,0.5,1.0,1
1.6,4.0,0.4,1.0,0,2,2,5,2,0,5,5,0.0,1.0,1,0,6,5,8,20,2,15,0.5,1.0,2
1.2,1.2,0.6,0.4,0,0,3,2,1,1,5,5,0.39999999999999997,0.2,1,2,5,4,6,6,1,2,0.5,1.0,0
1.8,1.8,0.2,0.4,0,1,1,2,4,1,5,5,-0.6000000000000001,0.2,0,2,17,5,9,9,-8,4,0.5,1.0,2
1.0,1.8,0.0,0.4,1,0,0,2,5,2,5,5,-1.0,0.0,0,1,11,9,5,9,-6,0,0.5,1.0,1
1.0,1.6,0.2,0.6,1,0,1,3,4,1,5,5,-0.6000000000000001,0.39999999999999997,0,1,13,5,5,8,-8,3,0.5,1.0,1
0.8,1.4,0.0,0.8,0,1,0,4,4,1,5,5,-0.8,0.6000000000000001,1,0,18,1,4,7,-14,6,0.5,1.0,2
1.0,2.6,0.2,0.4,1,0,1,2,3,2,5,5,-0.39999999999999997,0.0,1,1,6,9,5,13,-1,4,0.5,1.0,1
1.8,0.6,0.4,0.2,1,0,2,1,3,4,5,5,-0.19999999999999996,-0.6000000000000001,0,0,10,15,9,3,-1,-12,0.5,1.0,1
2.2,0.8,0.8,0.2,1,0,4,1,1,4,5,5,0.6000000000000001,-0.6000000000000001,0,0,6,9,11,4,5,-5,0.5,1.0,1
2.2,1.6,0.8,0.4,1,0,4,2,1,1,5,5,0.6000000000000001,0.2,0,2,2,6,11,8,9,2,0.5,1.0,1
1.0,0.6,0.2,0.0,1,0,1,0,1,5,5,5,0.0,-1.0,3,0,9,19,5,3,-4,-16,0.5,1.0,1
2.8,1.6,0.6,0.6,1,0,3,3,1,2,5,5,0.39999999999999997,0.19999999999999996,1,0,11,6,14,8,3,2,0.5,1.0,1
1.8,0.6,0.4,0.2,0,0,2,1,3,3,5,5,-0.19999999999999996,-0.39999999999999997,0,1,10,6,9,3,-1,-3,0.5,1.0,0
0.6,2.2,0.0,0.2,1,1,0,1,5,4,5,5,-1.0,-0.6000000000000001,0,0,15,16,3,11,-12,-5,0.5,1.0,2
1.0,1.0,0.4,0.4,1,0,2,2,2,0,5,5,0.0,0.4,1,3,4,2,5,5,1,3,0.5,1.0,1
0.4,2.4,0.2,0.8,0,1,1,4,4,1,5,5,-0.6000000000000001,0.6000000000000001,0,0,7,2,2,12,-5,10,0.5,1.0,2
0.8,2.8,0.4,0.6,0,1,2,3,2,2,5,5,0.0,0.19999999999999996,1,0,7,10,4,14,-3,4,0.5,1.0,2
0.6,1.0,0.2,0.2,1,0,1,1,4,4,5,5,-0.6000000000000001,-0.6000000000000001,0,0,11,9,3,5,-8,-4,0.5,1.0,1
2.0,1.8,0.6,0.4,0,1,3,2,2,2,5,5,0.19999999999999996,0.0,0,1,9,6,10,9,1,3,0.5,1.0,2
1.6,1.0,0.6,0.0,1,0,3,0,2,5,5,5,0.19999999999999996,-1.0,0,0,8,15,8,5,0,-10,0.5,1.0,1
